POI: 			Jennifer_Beals 
Youtube ID: 	9kdhqwjynVw 
Video length: 	602.4 sec 
Set (V): 		dev 
 
Jennifer_Beals/9kdhqwjynVw_0000001 16.3 27.3 
Jennifer_Beals/9kdhqwjynVw_0000002 36.9 59.6 
Jennifer_Beals/9kdhqwjynVw_0000003 95.3 99.9 
Jennifer_Beals/9kdhqwjynVw_0000004 128.4 136.6 
Jennifer_Beals/9kdhqwjynVw_0000005 145.9 163.4 
Jennifer_Beals/9kdhqwjynVw_0000006 178.1 190.4 
Jennifer_Beals/9kdhqwjynVw_0000007 191.2 199.8 
Jennifer_Beals/9kdhqwjynVw_0000008 202.1 210.0 
Jennifer_Beals/9kdhqwjynVw_0000009 214.6 229.2 
Jennifer_Beals/9kdhqwjynVw_0000010 232.6 247.0 
Jennifer_Beals/9kdhqwjynVw_0000011 257.5 261.6 
Jennifer_Beals/9kdhqwjynVw_0000012 262.4 272.8 
Jennifer_Beals/9kdhqwjynVw_0000013 273.1 287.7 
Jennifer_Beals/9kdhqwjynVw_0000014 302.4 341.2 
Jennifer_Beals/9kdhqwjynVw_0000015 350.4 355.9 
Jennifer_Beals/9kdhqwjynVw_0000016 379.3 384.0 
Jennifer_Beals/9kdhqwjynVw_0000017 388.8 397.6 
Jennifer_Beals/9kdhqwjynVw_0000018 421.8 428.0 
Jennifer_Beals/9kdhqwjynVw_0000019 433.5 439.2 
Jennifer_Beals/9kdhqwjynVw_0000020 448.2 452.2 
Jennifer_Beals/9kdhqwjynVw_0000021 468.6 472.9 
Jennifer_Beals/9kdhqwjynVw_0000022 488.5 495.0 
Jennifer_Beals/9kdhqwjynVw_0000023 509.5 519.1 
Jennifer_Beals/9kdhqwjynVw_0000024 529.8 537.5 
Jennifer_Beals/9kdhqwjynVw_0000025 539.0 548.0 
Jennifer_Beals/9kdhqwjynVw_0000026 549.4 553.6 
Jennifer_Beals/9kdhqwjynVw_0000027 556.8 565.0 
Jennifer_Beals/9kdhqwjynVw_0000028 570.9 576.8 
