POI: 			Ashley_Greene 
Youtube ID: 	M5lYNe7y2QY 
Video length: 	896.3 sec 
Set (V): 		dev 
 
Ashley_Greene/M5lYNe7y2QY_0000001 58.3 66.2 
Ashley_Greene/M5lYNe7y2QY_0000002 71.5 79.5 
Ashley_Greene/M5lYNe7y2QY_0000003 87.0 91.6 
Ashley_Greene/M5lYNe7y2QY_0000004 99.0 103.4 
Ashley_Greene/M5lYNe7y2QY_0000005 104.3 118.6 
Ashley_Greene/M5lYNe7y2QY_0000006 119.6 125.4 
Ashley_Greene/M5lYNe7y2QY_0000007 127.8 133.0 
Ashley_Greene/M5lYNe7y2QY_0000008 156.6 166.5 
Ashley_Greene/M5lYNe7y2QY_0000009 194.1 205.7 
Ashley_Greene/M5lYNe7y2QY_0000010 211.6 219.2 
Ashley_Greene/M5lYNe7y2QY_0000011 224.6 236.2 
Ashley_Greene/M5lYNe7y2QY_0000012 286.6 291.1 
Ashley_Greene/M5lYNe7y2QY_0000013 295.4 302.8 
Ashley_Greene/M5lYNe7y2QY_0000014 350.9 358.8 
Ashley_Greene/M5lYNe7y2QY_0000015 359.4 364.9 
Ashley_Greene/M5lYNe7y2QY_0000016 376.4 380.8 
Ashley_Greene/M5lYNe7y2QY_0000017 410.7 414.8 
Ashley_Greene/M5lYNe7y2QY_0000018 415.1 419.6 
Ashley_Greene/M5lYNe7y2QY_0000019 467.8 472.4 
Ashley_Greene/M5lYNe7y2QY_0000020 460.4 466.8 
Ashley_Greene/M5lYNe7y2QY_0000021 467.8 477.2 
Ashley_Greene/M5lYNe7y2QY_0000022 531.2 539.6 
Ashley_Greene/M5lYNe7y2QY_0000023 565.6 571.2 
Ashley_Greene/M5lYNe7y2QY_0000024 571.6 577.0 
Ashley_Greene/M5lYNe7y2QY_0000025 593.9 598.2 
Ashley_Greene/M5lYNe7y2QY_0000026 612.2 617.4 
Ashley_Greene/M5lYNe7y2QY_0000027 636.6 644.9 
Ashley_Greene/M5lYNe7y2QY_0000028 645.7 655.4 
Ashley_Greene/M5lYNe7y2QY_0000029 658.8 662.8 
Ashley_Greene/M5lYNe7y2QY_0000030 690.5 695.6 
Ashley_Greene/M5lYNe7y2QY_0000031 753.1 760.0 
Ashley_Greene/M5lYNe7y2QY_0000032 766.9 774.7 
Ashley_Greene/M5lYNe7y2QY_0000033 781.2 787.8 
Ashley_Greene/M5lYNe7y2QY_0000034 790.4 802.7 
Ashley_Greene/M5lYNe7y2QY_0000035 805.3 809.8 
Ashley_Greene/M5lYNe7y2QY_0000036 814.3 830.1 
Ashley_Greene/M5lYNe7y2QY_0000037 832.4 837.4 
Ashley_Greene/M5lYNe7y2QY_0000038 838.2 847.6 
