POI: 			Rue_McClanahan 
Youtube ID: 	vwTzGm7R9Ew 
Video length: 	381.2 sec 
Set (V): 		dev 
 
Rue_McClanahan/vwTzGm7R9Ew_0000001 17.7 25.2 
Rue_McClanahan/vwTzGm7R9Ew_0000002 50.6 57.9 
Rue_McClanahan/vwTzGm7R9Ew_0000003 55.8 62.9 
Rue_McClanahan/vwTzGm7R9Ew_0000004 63.4 67.9 
Rue_McClanahan/vwTzGm7R9Ew_0000005 69.5 74.6 
Rue_McClanahan/vwTzGm7R9Ew_0000006 85.4 91.5 
Rue_McClanahan/vwTzGm7R9Ew_0000007 95.7 100.1 
Rue_McClanahan/vwTzGm7R9Ew_0000008 106.7 122.9 
Rue_McClanahan/vwTzGm7R9Ew_0000009 134.1 139.7 
Rue_McClanahan/vwTzGm7R9Ew_0000010 175.6 182.5 
Rue_McClanahan/vwTzGm7R9Ew_0000011 151.2 156.0 
Rue_McClanahan/vwTzGm7R9Ew_0000012 166.6 170.6 
Rue_McClanahan/vwTzGm7R9Ew_0000013 202.6 207.2 
Rue_McClanahan/vwTzGm7R9Ew_0000014 208.4 215.8 
Rue_McClanahan/vwTzGm7R9Ew_0000015 216.3 224.6 
Rue_McClanahan/vwTzGm7R9Ew_0000016 229.6 236.8 
Rue_McClanahan/vwTzGm7R9Ew_0000017 245.6 250.2 
Rue_McClanahan/vwTzGm7R9Ew_0000018 250.6 267.0 
Rue_McClanahan/vwTzGm7R9Ew_0000019 280.2 288.4 
Rue_McClanahan/vwTzGm7R9Ew_0000020 295.7 301.4 
Rue_McClanahan/vwTzGm7R9Ew_0000021 312.4 316.6 
Rue_McClanahan/vwTzGm7R9Ew_0000022 335.0 342.8 
Rue_McClanahan/vwTzGm7R9Ew_0000023 355.0 359.2 
