POI: 			Jessica_Lowndes 
Youtube ID: 	9-ZedlAVdLM 
Video length: 	306.2 sec 
Set (V): 		dev 
 
Jessica_Lowndes/9-ZedlAVdLM_0000001 07.3 12.2 
Jessica_Lowndes/9-ZedlAVdLM_0000002 24.0 41.2 
Jessica_Lowndes/9-ZedlAVdLM_0000003 45.2 51.2 
Jessica_Lowndes/9-ZedlAVdLM_0000004 62.4 69.6 
Jessica_Lowndes/9-ZedlAVdLM_0000005 76.2 84.7 
Jessica_Lowndes/9-ZedlAVdLM_0000006 102.4 113.6 
Jessica_Lowndes/9-ZedlAVdLM_0000007 115.0 122.6 
Jessica_Lowndes/9-ZedlAVdLM_0000008 125.4 131.6 
Jessica_Lowndes/9-ZedlAVdLM_0000009 145.6 150.7 
Jessica_Lowndes/9-ZedlAVdLM_0000010 174.0 184.9 
Jessica_Lowndes/9-ZedlAVdLM_0000011 199.8 211.1 
Jessica_Lowndes/9-ZedlAVdLM_0000012 223.8 228.2 
Jessica_Lowndes/9-ZedlAVdLM_0000013 229.3 234.6 
Jessica_Lowndes/9-ZedlAVdLM_0000014 239.8 252.6 
Jessica_Lowndes/9-ZedlAVdLM_0000015 261.5 269.4 
Jessica_Lowndes/9-ZedlAVdLM_0000016 274.4 281.1 
