POI: 			Cindy_Williams 
Youtube ID: 	TQpK-Q7YPD8 
Video length: 	935.5 sec 
Set (V): 		dev 
 
Cindy_Williams/TQpK-Q7YPD8_0000001 84.3 92.0 
Cindy_Williams/TQpK-Q7YPD8_0000002 97.1 101.9 
Cindy_Williams/TQpK-Q7YPD8_0000003 104.0 109.9 
Cindy_Williams/TQpK-Q7YPD8_0000004 112.1 118.8 
Cindy_Williams/TQpK-Q7YPD8_0000005 126.1 137.3 
Cindy_Williams/TQpK-Q7YPD8_0000006 139.5 145.9 
Cindy_Williams/TQpK-Q7YPD8_0000007 150.9 157.5 
Cindy_Williams/TQpK-Q7YPD8_0000008 160.5 167.3 
Cindy_Williams/TQpK-Q7YPD8_0000009 169.3 177.7 
Cindy_Williams/TQpK-Q7YPD8_0000010 222.5 228.4 
Cindy_Williams/TQpK-Q7YPD8_0000011 232.3 238.6 
Cindy_Williams/TQpK-Q7YPD8_0000012 246.3 251.0 
Cindy_Williams/TQpK-Q7YPD8_0000013 253.2 258.3 
Cindy_Williams/TQpK-Q7YPD8_0000014 273.3 285.1 
Cindy_Williams/TQpK-Q7YPD8_0000015 289.3 299.0 
Cindy_Williams/TQpK-Q7YPD8_0000016 320.2 336.4 
Cindy_Williams/TQpK-Q7YPD8_0000017 338.3 386.6 
Cindy_Williams/TQpK-Q7YPD8_0000018 396.6 412.1 
Cindy_Williams/TQpK-Q7YPD8_0000019 412.2 418.3 
Cindy_Williams/TQpK-Q7YPD8_0000020 419.1 432.4 
Cindy_Williams/TQpK-Q7YPD8_0000021 479.0 502.3 
Cindy_Williams/TQpK-Q7YPD8_0000022 503.0 552.6 
Cindy_Williams/TQpK-Q7YPD8_0000023 568.5 589.5 
Cindy_Williams/TQpK-Q7YPD8_0000024 627.6 633.4 
Cindy_Williams/TQpK-Q7YPD8_0000025 666.4 683.6 
Cindy_Williams/TQpK-Q7YPD8_0000026 684.8 712.5 
Cindy_Williams/TQpK-Q7YPD8_0000027 732.5 815.6 
Cindy_Williams/TQpK-Q7YPD8_0000028 815.8 830.4 
Cindy_Williams/TQpK-Q7YPD8_0000029 868.4 875.4 
Cindy_Williams/TQpK-Q7YPD8_0000030 880.2 909.2 
