POI: 			Michelle_Dockery 
Youtube ID: 	dEz_dKbqedk 
Video length: 	428.7 sec 
Set (V): 		dev 
 
Michelle_Dockery/dEz_dKbqedk_0000001 42.6 53.1 
Michelle_Dockery/dEz_dKbqedk_0000002 61.7 66.0 
Michelle_Dockery/dEz_dKbqedk_0000003 66.0 71.6 
Michelle_Dockery/dEz_dKbqedk_0000004 72.6 80.6 
Michelle_Dockery/dEz_dKbqedk_0000005 89.8 96.1 
Michelle_Dockery/dEz_dKbqedk_0000006 113.6 126.7 
Michelle_Dockery/dEz_dKbqedk_0000007 127.7 133.6 
Michelle_Dockery/dEz_dKbqedk_0000008 170.6 176.7 
Michelle_Dockery/dEz_dKbqedk_0000009 254.7 263.9 
Michelle_Dockery/dEz_dKbqedk_0000010 265.8 282.4 
Michelle_Dockery/dEz_dKbqedk_0000011 309.6 318.7 
Michelle_Dockery/dEz_dKbqedk_0000012 318.9 322.9 
Michelle_Dockery/dEz_dKbqedk_0000013 340.6 345.8 
Michelle_Dockery/dEz_dKbqedk_0000014 358.3 367.5 
Michelle_Dockery/dEz_dKbqedk_0000015 389.2 395.8 
Michelle_Dockery/dEz_dKbqedk_0000016 396.5 403.2 
