POI: 			Michelle_Dockery 
Youtube ID: 	YOkYs3XeYmM 
Video length: 	984.7 sec 
Set (V): 		dev 
 
Michelle_Dockery/YOkYs3XeYmM_0000001 112.0 123.3 
Michelle_Dockery/YOkYs3XeYmM_0000002 183.2 194.0 
Michelle_Dockery/YOkYs3XeYmM_0000003 247.4 254.3 
Michelle_Dockery/YOkYs3XeYmM_0000004 268.6 281.6 
Michelle_Dockery/YOkYs3XeYmM_0000005 282.2 292.8 
Michelle_Dockery/YOkYs3XeYmM_0000006 295.8 300.3 
Michelle_Dockery/YOkYs3XeYmM_0000007 316.1 321.3 
Michelle_Dockery/YOkYs3XeYmM_0000008 367.8 372.4 
Michelle_Dockery/YOkYs3XeYmM_0000009 427.2 432.2 
Michelle_Dockery/YOkYs3XeYmM_0000010 479.5 487.2 
Michelle_Dockery/YOkYs3XeYmM_0000011 530.1 538.3 
Michelle_Dockery/YOkYs3XeYmM_0000012 568.7 576.1 
Michelle_Dockery/YOkYs3XeYmM_0000013 577.2 590.0 
Michelle_Dockery/YOkYs3XeYmM_0000014 593.4 600.2 
Michelle_Dockery/YOkYs3XeYmM_0000015 646.2 651.8 
Michelle_Dockery/YOkYs3XeYmM_0000016 689.4 697.5 
Michelle_Dockery/YOkYs3XeYmM_0000017 698.0 720.8 
Michelle_Dockery/YOkYs3XeYmM_0000018 721.5 728.6 
Michelle_Dockery/YOkYs3XeYmM_0000019 729.2 734.6 
Michelle_Dockery/YOkYs3XeYmM_0000020 764.4 775.4 
Michelle_Dockery/YOkYs3XeYmM_0000021 783.0 799.7 
Michelle_Dockery/YOkYs3XeYmM_0000022 826.3 830.7 
Michelle_Dockery/YOkYs3XeYmM_0000023 830.9 837.1 
Michelle_Dockery/YOkYs3XeYmM_0000024 837.6 861.4 
Michelle_Dockery/YOkYs3XeYmM_0000025 878.4 899.2 
