POI: 			Oona_Chaplin 
Youtube ID: 	l4HDjqZxAHQ 
Video length: 	310.6 sec 
Set (V): 		dev 
 
Oona_Chaplin/l4HDjqZxAHQ_0000001 38.5 45.4 
Oona_Chaplin/l4HDjqZxAHQ_0000002 48.7 56.4 
Oona_Chaplin/l4HDjqZxAHQ_0000003 61.6 69.0 
Oona_Chaplin/l4HDjqZxAHQ_0000004 74.0 84.3 
Oona_Chaplin/l4HDjqZxAHQ_0000005 87.4 97.0 
Oona_Chaplin/l4HDjqZxAHQ_0000006 104.0 110.7 
Oona_Chaplin/l4HDjqZxAHQ_0000007 119.3 130.0 
Oona_Chaplin/l4HDjqZxAHQ_0000008 141.8 146.3 
Oona_Chaplin/l4HDjqZxAHQ_0000009 152.5 157.2 
Oona_Chaplin/l4HDjqZxAHQ_0000010 177.3 188.0 
Oona_Chaplin/l4HDjqZxAHQ_0000011 193.6 198.9 
Oona_Chaplin/l4HDjqZxAHQ_0000012 200.0 204.0 
Oona_Chaplin/l4HDjqZxAHQ_0000013 213.2 219.3 
Oona_Chaplin/l4HDjqZxAHQ_0000014 241.8 247.3 
Oona_Chaplin/l4HDjqZxAHQ_0000015 272.6 279.0 
Oona_Chaplin/l4HDjqZxAHQ_0000016 281.3 291.2 
