POI: 			Sam_Waterston 
Youtube ID: 	6XPAvaEeMcI 
Video length: 	1479.4 sec 
Set (V): 		dev 
 
Sam_Waterston/6XPAvaEeMcI_0000001 73.8 82.3 
Sam_Waterston/6XPAvaEeMcI_0000002 113.1 117.3 
Sam_Waterston/6XPAvaEeMcI_0000003 128.3 132.7 
Sam_Waterston/6XPAvaEeMcI_0000004 133.5 142.9 
Sam_Waterston/6XPAvaEeMcI_0000005 150.3 155.5 
Sam_Waterston/6XPAvaEeMcI_0000006 193.6 203.8 
Sam_Waterston/6XPAvaEeMcI_0000007 204.3 215.3 
Sam_Waterston/6XPAvaEeMcI_0000008 216.2 220.4 
Sam_Waterston/6XPAvaEeMcI_0000009 250.4 255.0 
Sam_Waterston/6XPAvaEeMcI_0000010 260.8 267.0 
Sam_Waterston/6XPAvaEeMcI_0000011 273.0 280.2 
Sam_Waterston/6XPAvaEeMcI_0000012 280.8 286.4 
Sam_Waterston/6XPAvaEeMcI_0000013 281.6 287.0 
Sam_Waterston/6XPAvaEeMcI_0000014 324.1 329.6 
Sam_Waterston/6XPAvaEeMcI_0000015 341.9 354.9 
Sam_Waterston/6XPAvaEeMcI_0000016 359.8 372.7 
Sam_Waterston/6XPAvaEeMcI_0000017 443.8 449.2 
Sam_Waterston/6XPAvaEeMcI_0000018 455.0 459.1 
Sam_Waterston/6XPAvaEeMcI_0000019 512.0 518.1 
Sam_Waterston/6XPAvaEeMcI_0000020 520.2 525.2 
Sam_Waterston/6XPAvaEeMcI_0000021 526.1 532.8 
Sam_Waterston/6XPAvaEeMcI_0000022 541.6 550.6 
Sam_Waterston/6XPAvaEeMcI_0000023 561.2 566.0 
Sam_Waterston/6XPAvaEeMcI_0000024 592.5 598.8 
Sam_Waterston/6XPAvaEeMcI_0000025 610.2 615.2 
Sam_Waterston/6XPAvaEeMcI_0000026 830.0 835.1 
Sam_Waterston/6XPAvaEeMcI_0000027 835.5 851.6 
Sam_Waterston/6XPAvaEeMcI_0000028 878.6 882.6 
Sam_Waterston/6XPAvaEeMcI_0000029 908.4 913.8 
Sam_Waterston/6XPAvaEeMcI_0000030 933.1 939.1 
Sam_Waterston/6XPAvaEeMcI_0000031 973.6 985.2 
Sam_Waterston/6XPAvaEeMcI_0000032 990.9 995.3 
Sam_Waterston/6XPAvaEeMcI_0000033 1016.4 1024.7 
Sam_Waterston/6XPAvaEeMcI_0000034 1053.6 1058.4 
Sam_Waterston/6XPAvaEeMcI_0000035 1065.7 1070.3 
Sam_Waterston/6XPAvaEeMcI_0000036 1070.9 1081.4 
Sam_Waterston/6XPAvaEeMcI_0000037 1097.6 1102.5 
Sam_Waterston/6XPAvaEeMcI_0000038 1118.9 1125.0 
Sam_Waterston/6XPAvaEeMcI_0000039 1189.2 1194.8 
Sam_Waterston/6XPAvaEeMcI_0000040 1195.2 1203.7 
Sam_Waterston/6XPAvaEeMcI_0000041 1219.6 1225.4 
Sam_Waterston/6XPAvaEeMcI_0000042 1235.7 1254.5 
Sam_Waterston/6XPAvaEeMcI_0000043 1266.0 1278.1 
Sam_Waterston/6XPAvaEeMcI_0000044 1280.1 1284.8 
Sam_Waterston/6XPAvaEeMcI_0000045 1298.9 1312.6 
Sam_Waterston/6XPAvaEeMcI_0000046 1370.7 1388.4 
Sam_Waterston/6XPAvaEeMcI_0000047 1405.2 1409.2 
Sam_Waterston/6XPAvaEeMcI_0000048 1412.9 1420.6 
