POI: 			Tamer_Hassan 
Youtube ID: 	zD7I-4oZ2cU 
Video length: 	434.1 sec 
Set (V): 		dev 
 
Tamer_Hassan/zD7I-4oZ2cU_0000001 14.9 24.8 
Tamer_Hassan/zD7I-4oZ2cU_0000002 30.7 40.4 
Tamer_Hassan/zD7I-4oZ2cU_0000003 42.0 51.1 
Tamer_Hassan/zD7I-4oZ2cU_0000004 51.6 58.3 
Tamer_Hassan/zD7I-4oZ2cU_0000005 64.0 70.7 
Tamer_Hassan/zD7I-4oZ2cU_0000006 74.4 84.4 
Tamer_Hassan/zD7I-4oZ2cU_0000007 85.1 90.2 
Tamer_Hassan/zD7I-4oZ2cU_0000008 95.6 100.2 
Tamer_Hassan/zD7I-4oZ2cU_0000009 95.2 100.9 
Tamer_Hassan/zD7I-4oZ2cU_0000010 105.0 115.5 
Tamer_Hassan/zD7I-4oZ2cU_0000011 115.8 119.9 
Tamer_Hassan/zD7I-4oZ2cU_0000012 120.5 127.2 
Tamer_Hassan/zD7I-4oZ2cU_0000013 131.0 135.2 
Tamer_Hassan/zD7I-4oZ2cU_0000014 136.9 148.0 
Tamer_Hassan/zD7I-4oZ2cU_0000015 149.7 162.4 
Tamer_Hassan/zD7I-4oZ2cU_0000016 163.1 174.8 
Tamer_Hassan/zD7I-4oZ2cU_0000017 180.8 184.7 
Tamer_Hassan/zD7I-4oZ2cU_0000018 185.2 193.8 
Tamer_Hassan/zD7I-4oZ2cU_0000019 212.9 230.8 
Tamer_Hassan/zD7I-4oZ2cU_0000020 231.0 259.0 
Tamer_Hassan/zD7I-4oZ2cU_0000021 265.2 272.0 
Tamer_Hassan/zD7I-4oZ2cU_0000022 272.1 276.1 
Tamer_Hassan/zD7I-4oZ2cU_0000023 175.7 179.9 
Tamer_Hassan/zD7I-4oZ2cU_0000024 185.3 192.6 
Tamer_Hassan/zD7I-4oZ2cU_0000025 280.1 286.6 
Tamer_Hassan/zD7I-4oZ2cU_0000026 290.0 303.5 
Tamer_Hassan/zD7I-4oZ2cU_0000027 303.8 312.5 
Tamer_Hassan/zD7I-4oZ2cU_0000028 323.0 330.8 
Tamer_Hassan/zD7I-4oZ2cU_0000029 354.9 378.0 
Tamer_Hassan/zD7I-4oZ2cU_0000030 380.3 395.2 
Tamer_Hassan/zD7I-4oZ2cU_0000031 404.7 415.3 
