POI: 			Tamer_Hassan 
Youtube ID: 	Gicu1gUl6iw 
Video length: 	459.0 sec 
Set (V): 		dev 
 
Tamer_Hassan/Gicu1gUl6iw_0000001 12.4 17.4 
Tamer_Hassan/Gicu1gUl6iw_0000002 19.4 27.3 
Tamer_Hassan/Gicu1gUl6iw_0000003 48.5 63.2 
Tamer_Hassan/Gicu1gUl6iw_0000004 81.3 86.5 
Tamer_Hassan/Gicu1gUl6iw_0000005 99.1 107.3 
Tamer_Hassan/Gicu1gUl6iw_0000006 126.5 131.5 
Tamer_Hassan/Gicu1gUl6iw_0000007 135.0 142.6 
Tamer_Hassan/Gicu1gUl6iw_0000008 166.2 182.7 
Tamer_Hassan/Gicu1gUl6iw_0000009 231.9 254.6 
Tamer_Hassan/Gicu1gUl6iw_0000010 265.1 271.1 
Tamer_Hassan/Gicu1gUl6iw_0000011 276.6 281.7 
Tamer_Hassan/Gicu1gUl6iw_0000012 285.8 292.8 
Tamer_Hassan/Gicu1gUl6iw_0000013 295.0 301.4 
Tamer_Hassan/Gicu1gUl6iw_0000014 330.8 337.3 
Tamer_Hassan/Gicu1gUl6iw_0000015 348.0 352.3 
Tamer_Hassan/Gicu1gUl6iw_0000016 373.8 379.4 
Tamer_Hassan/Gicu1gUl6iw_0000017 380.6 386.9 
Tamer_Hassan/Gicu1gUl6iw_0000018 425.9 431.9 
Tamer_Hassan/Gicu1gUl6iw_0000019 432.6 440.2 
Tamer_Hassan/Gicu1gUl6iw_0000020 442.9 447.2 
