POI: 			Louis_Theroux 
Youtube ID: 	yD6IahyNlgk 
Video length: 	393.3 sec 
Set (V): 		dev 
 
Louis_Theroux/yD6IahyNlgk_0000001 55.9 73.0 
Louis_Theroux/yD6IahyNlgk_0000002 73.5 80.2 
Louis_Theroux/yD6IahyNlgk_0000003 89.0 96.9 
Louis_Theroux/yD6IahyNlgk_0000004 104.7 109.9 
Louis_Theroux/yD6IahyNlgk_0000005 117.4 126.2 
Louis_Theroux/yD6IahyNlgk_0000006 134.4 143.4 
Louis_Theroux/yD6IahyNlgk_0000007 151.2 163.0 
Louis_Theroux/yD6IahyNlgk_0000008 168.8 173.5 
Louis_Theroux/yD6IahyNlgk_0000009 186.8 207.0 
Louis_Theroux/yD6IahyNlgk_0000010 232.0 242.7 
Louis_Theroux/yD6IahyNlgk_0000011 263.6 268.1 
Louis_Theroux/yD6IahyNlgk_0000012 270.2 277.2 
Louis_Theroux/yD6IahyNlgk_0000013 284.8 294.9 
Louis_Theroux/yD6IahyNlgk_0000014 301.6 313.9 
Louis_Theroux/yD6IahyNlgk_0000015 346.0 356.6 
Louis_Theroux/yD6IahyNlgk_0000016 357.8 367.1 
