POI: 			Antonio_Cupo 
Youtube ID: 	LWet2zhWjBg 
Video length: 	696.7 sec 
Set (V): 		dev 
 
Antonio_Cupo/LWet2zhWjBg_0000001 01.8 06.4 
Antonio_Cupo/LWet2zhWjBg_0000002 08.1 13.3 
Antonio_Cupo/LWet2zhWjBg_0000003 25.8 33.0 
Antonio_Cupo/LWet2zhWjBg_0000004 49.2 64.6 
Antonio_Cupo/LWet2zhWjBg_0000005 81.3 86.7 
Antonio_Cupo/LWet2zhWjBg_0000006 100.2 110.3 
Antonio_Cupo/LWet2zhWjBg_0000007 111.6 118.0 
Antonio_Cupo/LWet2zhWjBg_0000008 138.2 146.8 
Antonio_Cupo/LWet2zhWjBg_0000009 153.0 160.2 
Antonio_Cupo/LWet2zhWjBg_0000010 177.8 183.4 
Antonio_Cupo/LWet2zhWjBg_0000011 185.2 204.3 
Antonio_Cupo/LWet2zhWjBg_0000012 215.8 220.0 
Antonio_Cupo/LWet2zhWjBg_0000013 205.1 209.2 
Antonio_Cupo/LWet2zhWjBg_0000014 222.7 228.0 
Antonio_Cupo/LWet2zhWjBg_0000015 258.7 265.4 
Antonio_Cupo/LWet2zhWjBg_0000016 267.4 271.4 
Antonio_Cupo/LWet2zhWjBg_0000017 271.8 279.8 
Antonio_Cupo/LWet2zhWjBg_0000018 280.3 284.5 
Antonio_Cupo/LWet2zhWjBg_0000019 296.8 306.0 
Antonio_Cupo/LWet2zhWjBg_0000020 306.2 313.2 
Antonio_Cupo/LWet2zhWjBg_0000021 317.8 322.6 
Antonio_Cupo/LWet2zhWjBg_0000022 336.9 342.5 
Antonio_Cupo/LWet2zhWjBg_0000023 350.1 357.4 
Antonio_Cupo/LWet2zhWjBg_0000024 364.8 369.0 
Antonio_Cupo/LWet2zhWjBg_0000025 370.0 374.5 
Antonio_Cupo/LWet2zhWjBg_0000026 379.3 383.7 
Antonio_Cupo/LWet2zhWjBg_0000027 398.3 412.7 
Antonio_Cupo/LWet2zhWjBg_0000028 418.2 422.8 
Antonio_Cupo/LWet2zhWjBg_0000029 434.6 440.6 
Antonio_Cupo/LWet2zhWjBg_0000030 447.3 458.0 
Antonio_Cupo/LWet2zhWjBg_0000031 458.6 463.4 
Antonio_Cupo/LWet2zhWjBg_0000032 480.3 484.7 
Antonio_Cupo/LWet2zhWjBg_0000033 519.4 523.7 
Antonio_Cupo/LWet2zhWjBg_0000034 527.9 539.0 
Antonio_Cupo/LWet2zhWjBg_0000035 544.6 549.9 
Antonio_Cupo/LWet2zhWjBg_0000036 560.8 565.3 
Antonio_Cupo/LWet2zhWjBg_0000037 565.8 576.1 
Antonio_Cupo/LWet2zhWjBg_0000038 585.6 590.6 
