POI: 			Laura_Benanti 
Youtube ID: 	_c6x7ffxEi4 
Video length: 	1711.5 sec 
Set (V): 		dev 
 
Laura_Benanti/_c6x7ffxEi4_0000001 146.1 159.4 
Laura_Benanti/_c6x7ffxEi4_0000002 197.3 207.6 
Laura_Benanti/_c6x7ffxEi4_0000003 217.3 230.9 
Laura_Benanti/_c6x7ffxEi4_0000004 236.1 251.1 
Laura_Benanti/_c6x7ffxEi4_0000005 289.3 297.8 
Laura_Benanti/_c6x7ffxEi4_0000006 323.0 327.7 
Laura_Benanti/_c6x7ffxEi4_0000007 334.2 347.1 
Laura_Benanti/_c6x7ffxEi4_0000008 354.0 365.0 
Laura_Benanti/_c6x7ffxEi4_0000009 395.8 411.5 
Laura_Benanti/_c6x7ffxEi4_0000010 422.7 428.2 
Laura_Benanti/_c6x7ffxEi4_0000011 430.7 446.2 
Laura_Benanti/_c6x7ffxEi4_0000012 533.9 546.1 
Laura_Benanti/_c6x7ffxEi4_0000013 551.2 560.3 
Laura_Benanti/_c6x7ffxEi4_0000014 562.9 570.6 
Laura_Benanti/_c6x7ffxEi4_0000015 575.1 581.3 
Laura_Benanti/_c6x7ffxEi4_0000016 596.8 603.6 
Laura_Benanti/_c6x7ffxEi4_0000017 640.0 644.5 
Laura_Benanti/_c6x7ffxEi4_0000018 654.6 660.2 
Laura_Benanti/_c6x7ffxEi4_0000019 692.6 698.2 
Laura_Benanti/_c6x7ffxEi4_0000020 700.2 705.0 
