POI: 			Laura_Benanti 
Youtube ID: 	_KvTsHGHC00 
Video length: 	1262.5 sec 
Set (V): 		dev 
 
Laura_Benanti/_KvTsHGHC00_0000001 50.3 56.9 
Laura_Benanti/_KvTsHGHC00_0000002 90.2 95.1 
Laura_Benanti/_KvTsHGHC00_0000003 107.8 112.4 
Laura_Benanti/_KvTsHGHC00_0000004 125.3 130.1 
Laura_Benanti/_KvTsHGHC00_0000005 161.4 168.9 
Laura_Benanti/_KvTsHGHC00_0000006 232.3 240.0 
Laura_Benanti/_KvTsHGHC00_0000007 304.2 311.4 
Laura_Benanti/_KvTsHGHC00_0000008 316.3 322.4 
Laura_Benanti/_KvTsHGHC00_0000009 348.0 356.2 
Laura_Benanti/_KvTsHGHC00_0000010 360.4 364.7 
Laura_Benanti/_KvTsHGHC00_0000011 377.6 388.0 
Laura_Benanti/_KvTsHGHC00_0000012 428.3 432.5 
Laura_Benanti/_KvTsHGHC00_0000013 437.5 441.8 
Laura_Benanti/_KvTsHGHC00_0000014 536.4 543.1 
Laura_Benanti/_KvTsHGHC00_0000015 544.7 550.0 
Laura_Benanti/_KvTsHGHC00_0000016 551.0 555.3 
Laura_Benanti/_KvTsHGHC00_0000017 584.0 590.2 
Laura_Benanti/_KvTsHGHC00_0000018 629.4 635.0 
Laura_Benanti/_KvTsHGHC00_0000019 701.0 705.4 
Laura_Benanti/_KvTsHGHC00_0000020 706.4 712.0 
Laura_Benanti/_KvTsHGHC00_0000021 763.5 771.2 
Laura_Benanti/_KvTsHGHC00_0000022 796.4 820.1 
Laura_Benanti/_KvTsHGHC00_0000023 845.6 850.8 
Laura_Benanti/_KvTsHGHC00_0000024 855.8 864.0 
Laura_Benanti/_KvTsHGHC00_0000025 864.3 870.5 
Laura_Benanti/_KvTsHGHC00_0000026 885.0 891.6 
Laura_Benanti/_KvTsHGHC00_0000027 929.0 933.1 
Laura_Benanti/_KvTsHGHC00_0000028 950.9 961.1 
Laura_Benanti/_KvTsHGHC00_0000029 963.1 968.1 
Laura_Benanti/_KvTsHGHC00_0000030 988.9 994.8 
Laura_Benanti/_KvTsHGHC00_0000031 1003.0 1017.6 
Laura_Benanti/_KvTsHGHC00_0000032 1020.8 1030.8 
Laura_Benanti/_KvTsHGHC00_0000033 1031.1 1037.6 
Laura_Benanti/_KvTsHGHC00_0000034 1041.8 1053.1 
Laura_Benanti/_KvTsHGHC00_0000035 1136.5 1140.7 
Laura_Benanti/_KvTsHGHC00_0000036 1152.1 1157.6 
Laura_Benanti/_KvTsHGHC00_0000037 1161.8 1174.8 
Laura_Benanti/_KvTsHGHC00_0000038 1220.6 1224.9 
Laura_Benanti/_KvTsHGHC00_0000039 1229.8 1234.4 
