POI: 			Skylar_Astin 
Youtube ID: 	EgCkBcaSh7c 
Video length: 	369.8 sec 
Set (V): 		dev 
 
Skylar_Astin/EgCkBcaSh7c_0000001 27.0 43.8 
Skylar_Astin/EgCkBcaSh7c_0000002 44.6 52.5 
Skylar_Astin/EgCkBcaSh7c_0000003 54.0 58.3 
Skylar_Astin/EgCkBcaSh7c_0000004 59.2 71.8 
Skylar_Astin/EgCkBcaSh7c_0000005 76.6 81.8 
Skylar_Astin/EgCkBcaSh7c_0000006 108.0 117.3 
Skylar_Astin/EgCkBcaSh7c_0000007 124.2 144.5 
Skylar_Astin/EgCkBcaSh7c_0000008 152.3 158.6 
Skylar_Astin/EgCkBcaSh7c_0000009 158.8 164.4 
Skylar_Astin/EgCkBcaSh7c_0000010 169.2 186.9 
Skylar_Astin/EgCkBcaSh7c_0000011 187.1 197.6 
Skylar_Astin/EgCkBcaSh7c_0000012 198.6 210.4 
Skylar_Astin/EgCkBcaSh7c_0000013 211.4 227.7 
Skylar_Astin/EgCkBcaSh7c_0000014 236.0 248.8 
Skylar_Astin/EgCkBcaSh7c_0000015 249.0 253.3 
Skylar_Astin/EgCkBcaSh7c_0000016 255.2 296.0 
Skylar_Astin/EgCkBcaSh7c_0000017 296.9 320.4 
Skylar_Astin/EgCkBcaSh7c_0000018 326.2 346.0 
