POI: 			Freddie_Highmore 
Youtube ID: 	KNfk2Yjyevw 
Video length: 	593.6 sec 
Set (V): 		dev 
 
Freddie_Highmore/KNfk2Yjyevw_0000001 03.1 29.0 
Freddie_Highmore/KNfk2Yjyevw_0000002 34.4 58.5 
Freddie_Highmore/KNfk2Yjyevw_0000003 65.2 85.8 
Freddie_Highmore/KNfk2Yjyevw_0000004 116.5 133.8 
Freddie_Highmore/KNfk2Yjyevw_0000005 147.3 167.4 
Freddie_Highmore/KNfk2Yjyevw_0000006 243.7 253.3 
Freddie_Highmore/KNfk2Yjyevw_0000007 284.6 318.6 
Freddie_Highmore/KNfk2Yjyevw_0000008 385.0 390.6 
Freddie_Highmore/KNfk2Yjyevw_0000009 390.9 396.8 
Freddie_Highmore/KNfk2Yjyevw_0000010 409.3 433.6 
Freddie_Highmore/KNfk2Yjyevw_0000011 439.8 463.2 
Freddie_Highmore/KNfk2Yjyevw_0000012 473.5 478.2 
Freddie_Highmore/KNfk2Yjyevw_0000013 479.1 490.0 
Freddie_Highmore/KNfk2Yjyevw_0000014 508.8 518.4 
Freddie_Highmore/KNfk2Yjyevw_0000015 519.0 528.0 
Freddie_Highmore/KNfk2Yjyevw_0000016 554.7 576.6 
