POI: 			Lea_Salonga 
Youtube ID: 	aMfPWRLKR0g 
Video length: 	3192.8 sec 
Set (V): 		dev 
 
Lea_Salonga/aMfPWRLKR0g_0000001 28.4 32.7 
Lea_Salonga/aMfPWRLKR0g_0000002 93.6 98.2 
Lea_Salonga/aMfPWRLKR0g_0000003 104.7 111.2 
Lea_Salonga/aMfPWRLKR0g_0000004 113.9 118.5 
Lea_Salonga/aMfPWRLKR0g_0000005 152.0 158.2 
Lea_Salonga/aMfPWRLKR0g_0000006 159.7 165.1 
Lea_Salonga/aMfPWRLKR0g_0000007 172.4 177.2 
Lea_Salonga/aMfPWRLKR0g_0000008 180.5 184.6 
Lea_Salonga/aMfPWRLKR0g_0000009 185.8 194.0 
Lea_Salonga/aMfPWRLKR0g_0000010 214.7 219.0 
Lea_Salonga/aMfPWRLKR0g_0000011 224.7 229.4 
Lea_Salonga/aMfPWRLKR0g_0000012 230.3 241.6 
Lea_Salonga/aMfPWRLKR0g_0000013 246.5 254.7 
Lea_Salonga/aMfPWRLKR0g_0000014 272.5 277.8 
Lea_Salonga/aMfPWRLKR0g_0000015 301.4 308.1 
Lea_Salonga/aMfPWRLKR0g_0000016 313.3 318.0 
Lea_Salonga/aMfPWRLKR0g_0000017 392.8 399.8 
Lea_Salonga/aMfPWRLKR0g_0000018 438.3 445.0 
Lea_Salonga/aMfPWRLKR0g_0000019 453.0 460.3 
Lea_Salonga/aMfPWRLKR0g_0000020 464.7 469.5 
Lea_Salonga/aMfPWRLKR0g_0000021 512.9 528.0 
Lea_Salonga/aMfPWRLKR0g_0000022 543.8 553.6 
Lea_Salonga/aMfPWRLKR0g_0000023 566.7 576.0 
Lea_Salonga/aMfPWRLKR0g_0000024 586.1 595.0 
Lea_Salonga/aMfPWRLKR0g_0000025 599.2 603.3 
Lea_Salonga/aMfPWRLKR0g_0000026 623.1 629.0 
Lea_Salonga/aMfPWRLKR0g_0000027 640.5 646.6 
Lea_Salonga/aMfPWRLKR0g_0000028 656.1 661.3 
Lea_Salonga/aMfPWRLKR0g_0000029 715.8 722.2 
Lea_Salonga/aMfPWRLKR0g_0000030 768.4 775.8 
Lea_Salonga/aMfPWRLKR0g_0000031 786.7 790.8 
Lea_Salonga/aMfPWRLKR0g_0000032 796.6 802.5 
Lea_Salonga/aMfPWRLKR0g_0000033 802.9 807.6 
Lea_Salonga/aMfPWRLKR0g_0000034 810.7 817.8 
Lea_Salonga/aMfPWRLKR0g_0000035 820.8 825.5 
Lea_Salonga/aMfPWRLKR0g_0000036 871.1 875.2 
Lea_Salonga/aMfPWRLKR0g_0000037 904.1 909.0 
Lea_Salonga/aMfPWRLKR0g_0000038 943.9 948.0 
Lea_Salonga/aMfPWRLKR0g_0000039 956.0 962.7 
Lea_Salonga/aMfPWRLKR0g_0000040 964.6 969.6 
Lea_Salonga/aMfPWRLKR0g_0000041 1141.0 1147.7 
Lea_Salonga/aMfPWRLKR0g_0000042 1261.9 1266.0 
Lea_Salonga/aMfPWRLKR0g_0000043 1368.3 1374.0 
Lea_Salonga/aMfPWRLKR0g_0000044 1395.2 1401.4 
Lea_Salonga/aMfPWRLKR0g_0000045 1438.1 1442.7 
Lea_Salonga/aMfPWRLKR0g_0000046 1555.9 1564.5 
Lea_Salonga/aMfPWRLKR0g_0000047 1565.4 1571.5 
Lea_Salonga/aMfPWRLKR0g_0000048 1581.3 1587.6 
Lea_Salonga/aMfPWRLKR0g_0000049 1602.1 1606.5 
Lea_Salonga/aMfPWRLKR0g_0000050 1634.4 1639.3 
Lea_Salonga/aMfPWRLKR0g_0000051 1639.5 1644.7 
Lea_Salonga/aMfPWRLKR0g_0000052 1698.2 1702.9 
