POI: 			Lea_Salonga 
Youtube ID: 	lgx5MsEcEEY 
Video length: 	1279.3 sec 
Set (V): 		dev 
 
Lea_Salonga/lgx5MsEcEEY_0000001 43.8 50.7 
Lea_Salonga/lgx5MsEcEEY_0000002 58.8 63.1 
Lea_Salonga/lgx5MsEcEEY_0000003 66.6 73.2 
Lea_Salonga/lgx5MsEcEEY_0000004 96.6 103.8 
Lea_Salonga/lgx5MsEcEEY_0000005 107.4 117.0 
Lea_Salonga/lgx5MsEcEEY_0000006 117.4 124.6 
Lea_Salonga/lgx5MsEcEEY_0000007 142.0 147.4 
Lea_Salonga/lgx5MsEcEEY_0000008 149.2 153.6 
Lea_Salonga/lgx5MsEcEEY_0000009 185.6 192.6 
Lea_Salonga/lgx5MsEcEEY_0000010 205.6 210.3 
Lea_Salonga/lgx5MsEcEEY_0000011 219.9 225.3 
Lea_Salonga/lgx5MsEcEEY_0000012 238.1 243.7 
Lea_Salonga/lgx5MsEcEEY_0000013 253.7 257.9 
Lea_Salonga/lgx5MsEcEEY_0000014 279.3 293.2 
Lea_Salonga/lgx5MsEcEEY_0000015 327.7 331.9 
Lea_Salonga/lgx5MsEcEEY_0000016 356.3 362.4 
Lea_Salonga/lgx5MsEcEEY_0000017 389.2 394.3 
Lea_Salonga/lgx5MsEcEEY_0000018 395.8 401.8 
Lea_Salonga/lgx5MsEcEEY_0000019 439.8 448.0 
Lea_Salonga/lgx5MsEcEEY_0000020 484.2 489.4 
Lea_Salonga/lgx5MsEcEEY_0000021 542.3 557.8 
Lea_Salonga/lgx5MsEcEEY_0000022 568.1 572.3 
Lea_Salonga/lgx5MsEcEEY_0000023 583.5 589.2 
Lea_Salonga/lgx5MsEcEEY_0000024 605.3 615.8 
Lea_Salonga/lgx5MsEcEEY_0000025 628.2 633.4 
Lea_Salonga/lgx5MsEcEEY_0000026 676.7 689.3 
Lea_Salonga/lgx5MsEcEEY_0000027 715.6 720.2 
Lea_Salonga/lgx5MsEcEEY_0000028 720.5 725.8 
Lea_Salonga/lgx5MsEcEEY_0000029 734.5 743.0 
Lea_Salonga/lgx5MsEcEEY_0000030 752.2 766.2 
Lea_Salonga/lgx5MsEcEEY_0000031 786.6 809.4 
Lea_Salonga/lgx5MsEcEEY_0000032 821.1 826.2 
Lea_Salonga/lgx5MsEcEEY_0000033 916.1 920.5 
Lea_Salonga/lgx5MsEcEEY_0000034 921.2 930.2 
Lea_Salonga/lgx5MsEcEEY_0000035 936.8 944.1 
Lea_Salonga/lgx5MsEcEEY_0000036 962.1 967.9 
Lea_Salonga/lgx5MsEcEEY_0000037 984.3 1002.9 
Lea_Salonga/lgx5MsEcEEY_0000038 1013.6 1017.6 
Lea_Salonga/lgx5MsEcEEY_0000039 1037.3 1044.7 
Lea_Salonga/lgx5MsEcEEY_0000040 1049.7 1062.4 
Lea_Salonga/lgx5MsEcEEY_0000041 1116.7 1123.9 
Lea_Salonga/lgx5MsEcEEY_0000042 1146.6 1157.7 
