POI: 			Elaine_Cassidy 
Youtube ID: 	9AtE4C309P8 
Video length: 	240.4 sec 
Set (V): 		test 
 
Elaine_Cassidy/9AtE4C309P8_0000001 06.2 23.6 
Elaine_Cassidy/9AtE4C309P8_0000002 25.5 34.1 
Elaine_Cassidy/9AtE4C309P8_0000003 38.8 45.5 
Elaine_Cassidy/9AtE4C309P8_0000004 46.0 57.1 
Elaine_Cassidy/9AtE4C309P8_0000005 67.9 77.2 
Elaine_Cassidy/9AtE4C309P8_0000006 82.6 87.4 
Elaine_Cassidy/9AtE4C309P8_0000007 87.6 94.6 
Elaine_Cassidy/9AtE4C309P8_0000008 104.8 110.4 
Elaine_Cassidy/9AtE4C309P8_0000009 110.7 119.8 
Elaine_Cassidy/9AtE4C309P8_0000010 136.6 145.0 
Elaine_Cassidy/9AtE4C309P8_0000011 151.9 157.7 
Elaine_Cassidy/9AtE4C309P8_0000012 158.4 163.0 
Elaine_Cassidy/9AtE4C309P8_0000013 167.8 188.2 
Elaine_Cassidy/9AtE4C309P8_0000014 188.7 194.6 
Elaine_Cassidy/9AtE4C309P8_0000015 195.6 202.2 
Elaine_Cassidy/9AtE4C309P8_0000016 207.3 215.0 
Elaine_Cassidy/9AtE4C309P8_0000017 218.8 225.9 
Elaine_Cassidy/9AtE4C309P8_0000018 227.4 238.2 
